#This file contains the measurements of lines in the MagE sample. Generated by EW_fitter.py.
#Columns are:
# label:       shortlabel of the galaxy/knot
# line_lab:    label of the line the code was asked to fit
# obs_wav:     observed frame vacuum wavelength of the line (A)
# rest_wave:   rest frame vacuum wavelength of the line (A)
# type:        is it emission or ism etc.
# EWr_fit:     eqv width as calculated from the Gaussian fit to the line (A)
# EWr_fit_u:  error in above qty. (A)
# EWr_sum:     eqv width as calculated by summing the flux (A)
# EWr_sum_u:   error in above qty. (A)
# f_line:      flux i.e. area under Gaussian fit (erg/s/cm^2)
# f_line_u:    error in above qty. (erg/s/cm^2)
# EWr_Suplim:  3sigma upper limit for unresolved OR detection criteria for resolved EWs, as determined using               Schneider et al. 1993 prescription
# EW_signi:    = 3*EWr_fit/EWr_Suplim. Probably use this for SIGNIFICANCE
# f_Suplim:    3sigma upper limit for unresolved OR detection criteria for resolved FLUXES following above prescription
# f_signi:     = 3*f_line/f_Suplim
# fit_cont:    continuum from the Gaussian fit (observed frame, continuum normalised fit, hence dimensionless)
# fit_f:       amplitude (i.e. height of Gaussian above the continuum) from the Gaussian fit (observed frame, continuum normalised fit, hence dimensionless)
# fit_cen:     center from the Gaussian fit (observed frame, continuum normalised fit, units=Angstrom)
# fit_cen_u:   error in above qty. (units of Angstrom)
# fit_sig:     linewidth of the Gaussian fit (observed frame, continuum normalised fit, units=Angstrom)
# zz:          Corrected redshift of this line, from the fitted center
# zz_u:        error in above qty.
# NaN means the code was unable to fit the line.
#
label	line_lab	obs_wav	rest_wave	type	EWr_fit	EWr_fit_u	EWr_sum	EWr_sum_u	f_line	f_line_u	EWr_Suplim	EW_signi	f_Suplim	f_signi	fit_cont	fit_f	fit_cen	fit_cen_u	fit_sig	zz	zz_u
S0004-0103	OII2470mid	6625.0705	2471.027	EMISSION	-0.1741	0.0701	-0.1704	0.075	3.0228e-18	1.2167e-18	-0.0812	6.43	5.262e-19	17.234	1.0	0.1045	6625.8118	0.5434	1.7817	1.6814	0.00022
S0108+0624	OIII]1666	4848.8464	1666.15	EMISSION	-0.0	0.0353	0.3533	0.0582	5.0925e-27	1.1829e-18	-0.0706	0.0	8.1181e-19	0.0	1.0	0.0	4848.6964	341429876.953	1.0531	1.91012	204921.45182
S0108+0624	SiIII1882	5479.0727	1882.707	EMISSION	-0.1974	0.0544	-0.1563	0.0568	5.5659e-18	1.5336e-18	-0.0661	8.964	6.4014e-19	26.084	1.0	0.2541	5479.2422	0.1884	0.902	1.9103	0.0001
S0108+0624	SiIII1892	5506.2017	1892.029	EMISSION	-0.0414	0.0379	0.093	0.0556	1.1591e-18	1.061e-18	-0.0667	1.865	6.4057e-19	5.428	1.0	0.1092	5506.0314	0.3051	0.4405	1.91012	0.00016
S0108+0624	CIII]1906	5548.8392	1906.68	EMISSION	-1.3413	0.0902	-1.7686	0.065	3.7183e-17	2.4999e-18	-0.0769	52.354	7.3215e-19	152.36	1.0	0.9606	5548.7158	0.0817	1.6212	1.91015	4e-05
S0108+0624	CIII]1908	5554.8051	1908.73	EMISSION	-0.8116	0.0871	-1.6666	0.0603	2.2485e-17	2.4131e-18	-0.0742	32.813	7.064e-19	95.494	1.0	0.5754	5554.9769	0.1306	1.6376	1.9103	7e-05
S0108+0624	CII2325b	6767.4111	2325.403	EMISSION	-0.5803	0.528	-1.3778	0.0753	1.1253e-17	1.0239e-17	-0.0877	19.839	5.8468e-19	57.737	1.0	0.2344	6767.2018	3.791	2.8739	1.91012	0.00163
S0108+0624	CII2325c	6769.4773	2326.113	EMISSION	-0.2471	0.1657	-1.4527	0.0754	4.7918e-18	3.2142e-18	-0.0887	8.352	5.9141e-19	24.307	1.0	0.3145	6769.268	0.2225	0.9121	1.91012	0.0001
S0108+0624	CII2325d	6773.9358	2327.645	EMISSION	-0.7577	0.4017	-1.4216	0.0743	1.4687e-17	7.7864e-18	-0.0883	25.74	5.8822e-19	74.908	1.0	0.3058	6774.1452	2.0437	2.8766	1.9103	0.00088
S0108+0624	OII2470mid	7191.2075	2471.027	EMISSION	-0.2135	0.0849	-0.0071	0.0908	3.6832e-18	1.4643e-18	-0.1104	5.801	6.545e-19	16.882	1.0	0.2241	7191.4299	0.3306	1.1064	1.9103	0.00013
S0957+0509	OIII]1666	4699.2428	1666.15	EMISSION	-0.507	0.1274	-0.3	0.1103	1.016e-17	2.5529e-18	-0.1282	11.865	9.1097e-19	33.46	1.0	0.4224	4699.4427	0.2571	1.3507	1.82054	0.00015
S0957+0509	SiIII1882	5310.0245	1882.707	EMISSION	-0.4203	0.1266	-0.6448	0.1387	6.6939e-18	2.0161e-18	-0.1606	7.85	9.0705e-19	22.14	1.0	0.4889	5309.9205	0.2214	0.9674	1.82036	0.00012
S0957+0509	SiIII1892	5336.3164	1892.029	EMISSION	-0.2504	0.0935	0.053	0.137	3.9565e-18	1.4767e-18	-0.1616	4.65	9.0495e-19	13.116	1.0	0.5389	5336.4661	0.1475	0.5229	1.8205	8e-05
S0957+0509	CIII]1906	5377.6384	1906.68	EMISSION	-1.3184	0.1511	-1.9164	0.1399	2.0539e-17	2.3536e-18	-0.169	23.41	9.3325e-19	66.025	1.0	1.1413	5377.7882	0.1119	1.2997	1.8205	6e-05
S0957+0509	CIII]1908	5383.4203	1908.73	EMISSION	-0.5983	0.1119	-1.8762	0.1403	9.3054e-18	1.7409e-18	-0.1633	10.989	9.0067e-19	30.995	1.0	0.908	5383.4782	0.1041	0.7413	1.82045	5e-05
S0957+0509	CII2325b	6558.6131	2325.403	EMISSION	-0.1927	0.1599	-0.8232	0.2226	1.9613e-18	1.6281e-18	-0.2114	2.734	7.6315e-19	7.71	1.0	0.3373	6558.505	0.4712	0.6426	1.82037	0.0002
S0957+0509	CII2325c	6560.6156	2326.113	EMISSION	-0.1416	0.2519	-0.9397	0.2212	1.4396e-18	2.5621e-18	-0.2121	2.002	7.6477e-19	5.647	1.0	0.1721	6560.8948	1.1289	0.9253	1.82054	0.00049
S0957+0509	CII2325d	6564.9365	2327.645	EMISSION	-0.6269	0.3424	-1.0012	0.217	6.3625e-18	3.475e-18	-0.3379	5.566	1.2161e-18	15.696	1.0	0.3724	6565.2158	0.78	1.8942	1.82054	0.00034
S0957+0509	OII2470mid	6969.334	2471.027	EMISSION	-0.3863	0.251	-0.1989	0.2127	3.3315e-18	2.1645e-18	-0.2524	4.591	7.7186e-19	12.948	1.0	0.2132	6969.6305	1.0396	2.0388	1.82054	0.00042
